T,C,Si,Al,B,Co,Cr,Fe,Mo,Nb,Ta,Ti,W,Zr,A
1234,0.0007,0.0002,0.0558,0.00018,0.093,0.08,0.0009,0.0049,0.00048,0.0321,0.0074,0.0141,0.00009,
1,,,,,,,,,,,,,,
